state,collection_date,positive,all_SGTF,sequenced_SGTF,B117
PR,2020-09-05,3,0,0,0
VA,2020-09-05,3,0,0,0
FL,2020-09-06,8,0,0,0
CA,2020-09-07,8,0,0,0
AL,2020-09-08,3,0,0,0
CA,2020-09-08,74,0,0,0
FL,2020-09-08,176,0,0,0
IL,2020-09-08,4,0,0,0
LA,2020-09-08,3,0,0,0
MO,2020-09-08,3,0,0,0
OH,2020-09-08,3,0,0,0
SC,2020-09-08,3,0,0,0
TX,2020-09-08,12,0,0,0
CA,2020-09-09,71,0,0,0
FL,2020-09-09,137,0,0,0
GA,2020-09-09,3,0,0,0
TX,2020-09-09,3,0,0,0
CA,2020-09-10,63,0,0,0
FL,2020-09-10,126,0,0,0
GA,2020-09-10,3,0,0,0
TX,2020-09-10,4,0,0,0
CA,2020-09-11,63,0,0,0
FL,2020-09-11,134,0,0,0
TX,2020-09-11,6,0,0,0
CA,2020-09-12,31,0,0,0
FL,2020-09-12,140,0,0,0
MN,2020-09-12,4,0,0,0
NC,2020-09-12,3,0,0,0
CA,2020-09-13,38,0,0,0
FL,2020-09-13,120,0,0,0
CA,2020-09-14,81,2,0,0
FL,2020-09-14,161,0,0,0
GA,2020-09-14,3,0,0,0
AL,2020-09-15,3,0,0,0
AZ,2020-09-15,3,0,0,0
CA,2020-09-15,57,0,0,0
FL,2020-09-15,137,0,0,0
GA,2020-09-15,4,0,0,0
IL,2020-09-15,6,0,0,0
MN,2020-09-15,3,0,0,0
MO,2020-09-15,4,0,0,0
NC,2020-09-15,5,0,0,0
SC,2020-09-15,3,0,0,0
TX,2020-09-15,9,0,0,0
VA,2020-09-15,5,0,0,0
CA,2020-09-16,85,0,0,0
FL,2020-09-16,129,0,0,0
MN,2020-09-16,7,0,0,0
CA,2020-09-17,63,1,0,0
FL,2020-09-17,121,0,0,0
GA,2020-09-17,7,0,0,0
KY,2020-09-17,3,0,0,0
LA,2020-09-17,3,0,0,0
MN,2020-09-17,19,0,0,0
TX,2020-09-17,3,0,0,0
UT,2020-09-17,3,0,0,0
AL,2020-09-18,3,0,0,0
AZ,2020-09-18,14,0,0,0
CA,2020-09-18,57,0,0,0
FL,2020-09-18,114,0,0,0
GA,2020-09-18,10,0,0,0
MN,2020-09-18,16,0,0,0
TX,2020-09-18,51,0,0,0
WI,2020-09-18,3,0,0,0
AZ,2020-09-19,12,0,0,0
CA,2020-09-19,47,0,0,0
FL,2020-09-19,133,0,0,0
GA,2020-09-19,25,0,0,0
IL,2020-09-19,4,0,0,0
MN,2020-09-19,16,0,0,0
NC,2020-09-19,3,0,0,0
TX,2020-09-19,71,0,0,0
WI,2020-09-19,3,0,0,0
AZ,2020-09-20,10,0,0,0
CA,2020-09-20,28,0,0,0
FL,2020-09-20,130,0,0,0
GA,2020-09-20,20,0,0,0
IL,2020-09-20,4,0,0,0
MN,2020-09-20,13,0,0,0
TX,2020-09-20,63,0,0,0
AZ,2020-09-21,17,0,0,0
CA,2020-09-21,67,0,0,0
FL,2020-09-21,149,1,0,0
GA,2020-09-21,19,0,0,0
LA,2020-09-21,3,0,0,0
MN,2020-09-21,53,0,0,0
TX,2020-09-21,94,0,0,0
AZ,2020-09-22,22,0,0,0
CA,2020-09-22,49,0,0,0
FL,2020-09-22,111,0,0,0
GA,2020-09-22,28,0,0,0
IL,2020-09-22,5,0,0,0
LA,2020-09-22,4,0,0,0
MN,2020-09-22,29,0,0,0
NC,2020-09-22,4,0,0,0
TX,2020-09-22,99,0,0,0
WI,2020-09-22,4,0,0,0
AZ,2020-09-23,13,0,0,0
CA,2020-09-23,61,0,0,0
FL,2020-09-23,148,0,0,0
GA,2020-09-23,19,0,0,0
LA,2020-09-23,4,0,0,0
MN,2020-09-23,54,0,0,0
NJ,2020-09-23,3,0,0,0
TX,2020-09-23,101,0,0,0
WI,2020-09-23,5,0,0,0
AZ,2020-09-24,30,0,0,0
CA,2020-09-24,47,0,0,0
FL,2020-09-24,114,0,0,0
GA,2020-09-24,25,0,0,0
MN,2020-09-24,42,0,0,0
TN,2020-09-24,4,0,0,0
TX,2020-09-24,104,0,0,0
VA,2020-09-24,5,0,0,0
WI,2020-09-24,4,0,0,0
AZ,2020-09-25,13,0,0,0
CA,2020-09-25,52,0,0,0
FL,2020-09-25,103,0,0,0
GA,2020-09-25,17,0,0,0
MN,2020-09-25,18,0,0,0
SC,2020-09-25,3,0,0,0
TX,2020-09-25,114,0,0,0
AZ,2020-09-26,22,0,0,0
CA,2020-09-26,24,0,0,0
FL,2020-09-26,109,0,0,0
GA,2020-09-26,29,0,0,0
MN,2020-09-26,14,0,0,0
NV,2020-09-26,3,0,0,0
TX,2020-09-26,101,0,0,0
WI,2020-09-26,3,0,0,0
AZ,2020-09-27,16,0,0,0
CA,2020-09-27,32,1,0,0
FL,2020-09-27,123,1,0,0
GA,2020-09-27,13,0,0,0
MN,2020-09-27,23,0,0,0
TX,2020-09-27,97,0,0,0
AZ,2020-09-28,29,0,0,0
CA,2020-09-28,79,0,0,0
FL,2020-09-28,133,0,0,0
GA,2020-09-28,33,0,0,0
MN,2020-09-28,45,0,0,0
NC,2020-09-28,4,0,0,0
OK,2020-09-28,3,0,0,0
TX,2020-09-28,118,0,0,0
WI,2020-09-28,9,0,0,0
AZ,2020-09-29,24,0,0,0
CA,2020-09-29,59,1,0,0
