age_bin,collection_date,positive_result,positivity_7day
18-24,2021-11-02,COVID,
18-24,2021-11-03,COVID,
18-24,2021-11-04,COVID,
18-24,2021-11-05,COVID,
18-24,2021-11-06,COVID,
18-24,2021-11-07,COVID,
18-24,2021-11-08,COVID,0.07503712732906895
18-24,2021-11-09,COVID,0.07720503143316888
18-24,2021-11-10,COVID,0.07980425419289962
18-24,2021-11-11,COVID,0.07944782183215691
18-24,2021-11-12,COVID,0.08101664187260187
18-24,2021-11-13,COVID,0.08071783486944688
18-24,2021-11-14,COVID,0.08068796180911164
18-24,2021-11-15,COVID,0.08122403021300514
18-24,2021-11-16,COVID,0.08158252452493524
18-24,2021-11-17,COVID,0.0804734123649394
18-24,2021-11-18,COVID,0.08002110290570433
18-24,2021-11-19,COVID,0.08185265464868816
18-24,2021-11-20,COVID,0.07929384122512009
18-24,2021-11-21,COVID,0.07635427254050339
18-24,2021-11-22,COVID,0.07442895025141916
18-24,2021-11-23,COVID,0.07436584563094616
18-24,2021-11-24,COVID,0.07466835265942115
18-24,2021-11-25,COVID,0.07624201583255556
18-24,2021-11-26,COVID,0.0783722687000127
18-24,2021-11-27,COVID,0.0833681333846026
18-24,2021-11-28,COVID,0.08899653918019904
18-24,2021-11-29,COVID,0.09372229748291093
18-24,2021-11-30,COVID,0.09403218853509787
18-24,2021-12-01,COVID,0.09646007061534563
18-24,2021-12-02,COVID,0.09929455759655859
18-24,2021-12-03,COVID,0.10019540845852921
18-24,2021-12-04,COVID,0.10209152000229997
18-24,2021-12-05,COVID,0.10303622545394252
18-24,2021-12-06,COVID,0.10379737209192934
18-24,2021-12-07,COVID,0.10554856424047247
18-24,2021-12-08,COVID,0.10475365636441593
18-24,2021-12-09,COVID,0.1035175808997083
18-24,2021-12-10,COVID,0.10055682130629565
18-24,2021-12-11,COVID,0.0972229842921157
18-24,2021-12-12,COVID,0.09403472853986976
18-24,2021-12-13,COVID,0.0925076772279798
18-24,2021-12-14,COVID,0.09330259270300044
18-24,2021-12-15,COVID,0.09416819671261664
18-24,2021-12-16,COVID,0.09736068834151043
18-24,2021-12-17,COVID,0.10154181461542464
18-24,2021-12-18,COVID,0.10574817966364691
18-24,2021-12-19,COVID,0.11323777977100062
18-24,2021-12-20,COVID,0.1224076387030515
18-24,2021-12-21,COVID,0.1363282860708136
18-24,2021-12-22,COVID,0.1531785239017691
18-24,2021-12-23,COVID,0.1681834585545765
18-24,2021-12-24,COVID,0.18466339705820936
18-24,2021-12-25,COVID,0.18034379849635115
18-24,2021-12-26,COVID,0.19894157969276272
18-24,2021-12-27,COVID,0.22052261813761698
18-24,2021-12-28,COVID,0.23982694261142484
18-24,2021-12-29,COVID,0.25544672563697285
18-24,2021-12-30,COVID,0.2685371559390329
18-24,2021-12-31,COVID,0.28697531217989286
18-24,2022-01-01,COVID,0.31206034619349826
18-24,2022-01-02,COVID,0.3200869806930623
18-24,2022-01-03,COVID,0.32164928269314075
18-24,2022-01-04,COVID,0.3241891868395674
