collection_date,positive_result,positive_tests,total_tests,positivity,positivity_7day
2021-11-02,COVID,1224,18139,0.06747891283973759,
2021-11-02,FluA,61,18139,0.0033629196758365953,
2021-11-03,COVID,1132,19170,0.05905059989567032,
2021-11-03,FluA,65,19170,0.003390714658320292,
2021-11-04,COVID,1330,18823,0.07065823726292302,
2021-11-04,FluA,74,18823,0.003931360569516018,
2021-11-05,COVID,1220,16253,0.07506306528025596,
2021-11-05,FluA,62,16253,0.003814680366701532,
2021-11-06,COVID,1115,12978,0.0859146247495762,
2021-11-06,FluA,30,12978,0.002311604253351826,
2021-11-07,COVID,953,11866,0.08031350075846957,
2021-11-07,FluA,34,11866,0.0028653295128939827,
2021-11-08,COVID,1402,17520,0.08002283105022831,0.07407168169098013
2021-11-08,FluA,48,17520,0.0027397260273972603,0.0032023335805739296
2021-11-09,COVID,1461,18841,0.07754365479539303,0.07550950197035948
2021-11-09,FluA,78,18841,0.0041399076482140015,0.0033133318623421305
2021-11-10,COVID,1367,19012,0.07190195665895224,0.07734541007939977
2021-11-10,FluA,64,19012,0.003366294971596886,0.003309843335667358
2021-11-11,COVID,1438,18698,0.07690662102898706,0.07823803633169464
2021-11-11,FluA,59,18698,0.003155417691731736,0.0031989943531267463
2021-11-12,COVID,1409,16675,0.08449775112443778,0.07958584859514917
2021-11-12,FluA,51,16675,0.003058470764617691,0.0030909644099719118
2021-11-13,COVID,1235,13603,0.09078879658898772,0.08028215885792224
2021-11-13,FluA,32,13603,0.002352422259795633,0.0030967955537495985
2021-11-14,COVID,1014,12414,0.08168197196713388,0.0804776547448743
2021-11-14,FluA,34,12414,0.0027388432415015305,0.0030787260864078196
2021-11-15,COVID,1644,18138,0.09063843863711545,0.08199417011442958
2021-11-15,FluA,54,18138,0.0029771749917300696,0.0031126473670267927
2021-11-16,COVID,1577,19932,0.07911900461569336,0.08221922008875822
2021-11-16,FluA,85,19932,0.00426449929761188,0.0031304461740836323
2021-11-17,COVID,1367,20834,0.06561390035518863,0.08132092633107768
2021-11-17,FluA,100,20834,0.0047998464049150424,0.0033352392359862265
2021-11-18,COVID,1502,20696,0.07257441051410901,0.08070203911466654
2021-11-18,FluA,95,20696,0.0045902589872439115,0.003540216563916537
2021-11-19,COVID,1442,17949,0.08033873753412446,0.08010789431605035
2021-11-19,FluA,81,17949,0.004512786227644994,0.0037479759157775802
2021-11-20,COVID,1209,14377,0.08409264797941156,0.07915130165753947
2021-11-20,FluA,71,14377,0.0049384433470125895,0.004117407499665717
2021-11-21,COVID,927,13118,0.0706662601006251,0.07757762853375251
2021-11-21,FluA,69,13118,0.0052599481628297,0.004477565345569741
2021-11-22,COVID,1499,18118,0.08273540125841704,0.07644862319393844
2021-11-22,FluA,92,18118,0.005077823159289105,0.004777657940935318
2021-11-23,COVID,1470,18621,0.07894312872563235,0.07642349806678687
2021-11-23,FluA,110,18621,0.005907308952258203,0.005012345034456221
2021-11-24,COVID,1372,18006,0.0761968232811285,0.077935344199064
2021-11-24,FluA,96,18006,0.005331556147950683,0.005088303569175598
